user_id,incentive_type,incentive_cost,estimated_revenue_30d
1,affiliate_reward,10.0,0.92
3,referral_bonus,12.0,0.33
4,cashback,5.0,1.75
5,welcome_bonus,8.0,0.68
6,welcome_bonus,8.0,0.36
8,referral_bonus,12.0,0.57
9,welcome_bonus,8.0,0.59
10,welcome_bonus,8.0,0.33
13,referral_bonus,12.0,0.84
16,welcome_bonus,8.0,0.69
20,referral_bonus,12.0,1.26
21,affiliate_reward,10.0,0.68
23,referral_bonus,12.0,0.54
25,welcome_bonus,8.0,0.6
27,referral_bonus,12.0,1.16
28,referral_bonus,12.0,0.56
29,cashback,5.0,0.61
31,referral_bonus,12.0,0.35
33,welcome_bonus,8.0,0.88
36,welcome_bonus,8.0,0.66
38,referral_bonus,12.0,1.17
43,welcome_bonus,8.0,0.67
44,cashback,5.0,0.07
46,affiliate_reward,10.0,0.67
48,cashback,5.0,0.88
49,referral_bonus,12.0,0.87
50,welcome_bonus,8.0,0.46
51,cashback,5.0,1.64
53,welcome_bonus,8.0,0.59
56,affiliate_reward,10.0,2.34
58,referral_bonus,12.0,0.29
59,welcome_bonus,8.0,0.17
61,referral_bonus,12.0,2.37
62,affiliate_reward,10.0,2.13
66,welcome_bonus,8.0,0.07
67,cashback,5.0,0.44
73,welcome_bonus,8.0,0.44
76,welcome_bonus,8.0,1.85
79,referral_bonus,12.0,0.63
80,welcome_bonus,8.0,0.56
81,cashback,5.0,1.67
84,referral_bonus,12.0,0.52
85,welcome_bonus,8.0,0.38
86,referral_bonus,12.0,0.55
95,welcome_bonus,8.0,0.33
96,referral_bonus,12.0,1.34
97,welcome_bonus,8.0,0.5
100,referral_bonus,12.0,1.19
102,cashback,5.0,0.73
105,cashback,5.0,0.59
106,welcome_bonus,8.0,0.41
107,referral_bonus,12.0,1.61
108,affiliate_reward,10.0,0.55
110,cashback,5.0,0.71
111,referral_bonus,12.0,0.33
113,welcome_bonus,8.0,0.46
114,welcome_bonus,8.0,0.98
115,welcome_bonus,8.0,0.45
117,cashback,5.0,0.4
119,welcome_bonus,8.0,0.78
122,referral_bonus,12.0,0.82
123,referral_bonus,12.0,1.84
124,referral_bonus,12.0,0.14
125,referral_bonus,12.0,0.78
129,welcome_bonus,8.0,0.0
133,cashback,5.0,0.55
134,welcome_bonus,8.0,0.87
135,referral_bonus,12.0,0.33
136,welcome_bonus,8.0,0.67
137,referral_bonus,12.0,0.18
138,welcome_bonus,8.0,0.75
139,referral_bonus,12.0,0.74
140,referral_bonus,12.0,0.51
141,cashback,5.0,0.0
143,referral_bonus,12.0,0.4
144,welcome_bonus,8.0,0.08
146,cashback,5.0,0.45
150,cashback,5.0,0.33
154,cashback,5.0,0.0
160,referral_bonus,12.0,0.31
161,referral_bonus,12.0,0.23
162,referral_bonus,12.0,1.42
163,referral_bonus,12.0,0.31
165,referral_bonus,12.0,0.57
167,referral_bonus,12.0,1.76
172,cashback,5.0,0.87
174,affiliate_reward,10.0,0.55
175,welcome_bonus,8.0,0.63
176,welcome_bonus,8.0,0.45
185,referral_bonus,12.0,1.49
188,welcome_bonus,8.0,0.64
190,welcome_bonus,8.0,0.53
194,referral_bonus,12.0,0.8
195,referral_bonus,12.0,0.49
197,cashback,5.0,1.16
198,referral_bonus,12.0,1.37
202,referral_bonus,12.0,0.49
205,welcome_bonus,8.0,0.29
207,cashback,5.0,0.82
208,referral_bonus,12.0,1.86
209,referral_bonus,12.0,0.0
214,cashback,5.0,0.81
217,welcome_bonus,8.0,0.84
218,welcome_bonus,8.0,0.45
222,cashback,5.0,0.41
223,cashback,5.0,0.8
226,affiliate_reward,10.0,1.69
227,cashback,5.0,0.7
231,referral_bonus,12.0,1.16
232,cashback,5.0,0.79
236,referral_bonus,12.0,0.35
238,welcome_bonus,8.0,0.98
239,welcome_bonus,8.0,0.66
240,affiliate_reward,10.0,1.01
241,referral_bonus,12.0,1.97
242,welcome_bonus,8.0,0.69
244,cashback,5.0,1.03
246,referral_bonus,12.0,0.51
247,referral_bonus,12.0,0.8
248,referral_bonus,12.0,2.05
250,affiliate_reward,10.0,0.34
251,affiliate_reward,10.0,0.68
252,welcome_bonus,8.0,0.16
253,referral_bonus,12.0,0.71
255,cashback,5.0,0.78
257,welcome_bonus,8.0,0.62
259,welcome_bonus,8.0,0.31
266,referral_bonus,12.0,0.61
268,welcome_bonus,8.0,0.87
271,affiliate_reward,10.0,0.75
273,referral_bonus,12.0,2.06
276,welcome_bonus,8.0,1.02
277,referral_bonus,12.0,1.31
278,referral_bonus,12.0,1.21
279,affiliate_reward,10.0,0.14
280,welcome_bonus,8.0,0.48
281,welcome_bonus,8.0,0.69
285,cashback,5.0,0.76
286,welcome_bonus,8.0,0.93
287,welcome_bonus,8.0,0.57
288,referral_bonus,12.0,2.15
290,referral_bonus,12.0,0.8
