user_id,signup_date,country,age_band,acquisition_channel,device_type,risk_score,kyc_required,referred,incentive_offered
1,2025-01-09,UK,25-34,affiliate,iOS,0.337,True,False,True
2,2025-03-11,Spain,18-24,affiliate,iOS,0.44,True,False,False
3,2025-02-28,Spain,25-34,referral,iOS,0.532,True,True,True
4,2025-02-09,UK,35-44,paid_search,Android,0.627,True,False,True
5,2025-02-08,UK,25-34,paid_social,iOS,0.618,True,False,True
6,2025-03-19,Germany,18-24,paid_social,Android,0.503,True,False,True
7,2025-01-08,Spain,25-34,organic,Web,0.46,True,False,False
8,2025-03-04,Spain,55+,referral,iOS,0.392,True,True,True
9,2025-01-19,Spain,25-34,paid_social,Android,0.405,True,False,True
10,2025-01-09,Germany,25-34,paid_social,iOS,0.31,True,False,True
11,2025-02-17,UK,18-24,organic,iOS,0.373,True,False,False
12,2025-03-29,France,25-34,organic,iOS,0.514,True,False,False
13,2025-03-08,UK,35-44,referral,iOS,0.727,True,True,True
14,2025-03-10,Spain,35-44,organic,Android,0.423,True,False,False
15,2025-03-06,UK,25-34,organic,Android,0.305,True,False,False
16,2025-03-12,UK,45-54,paid_social,Android,0.624,True,False,True
17,2025-02-16,France,25-34,paid_social,Android,0.09,True,False,False
18,2025-01-12,Germany,45-54,organic,Android,0.638,True,False,False
19,2025-03-17,France,18-24,organic,Android,0.192,True,False,False
20,2025-02-10,Germany,25-34,referral,Android,0.568,True,True,True
21,2025-02-15,Nigeria,45-54,affiliate,Android,0.364,True,False,True
22,2025-02-03,Ghana,45-54,paid_search,iOS,0.508,True,False,False
23,2025-01-17,Ghana,35-44,referral,Android,0.825,True,True,True
24,2025-03-25,France,35-44,paid_search,Android,0.299,True,False,False
25,2025-03-12,France,35-44,paid_social,iOS,0.27,True,False,True
26,2025-02-27,France,35-44,paid_social,Android,0.464,False,False,False
27,2025-02-06,Germany,25-34,referral,Web,0.725,True,True,True
28,2025-03-16,Germany,25-34,referral,Web,0.482,True,True,True
29,2025-02-19,France,35-44,paid_search,iOS,0.458,True,False,True
30,2025-02-09,UK,25-34,organic,iOS,0.48,True,False,False
31,2025-02-10,UK,45-54,referral,iOS,0.269,True,True,True
32,2025-01-21,Ghana,25-34,organic,Android,0.482,True,False,False
33,2025-01-09,UK,18-24,paid_social,Android,0.379,True,False,True
34,2025-02-19,France,18-24,paid_search,Android,0.688,True,False,False
35,2025-03-21,France,35-44,organic,Web,0.594,True,False,False
36,2025-01-06,UK,18-24,paid_social,iOS,0.212,False,False,True
37,2025-03-19,Ghana,45-54,paid_search,iOS,0.399,True,False,False
38,2025-03-16,UK,18-24,referral,Android,0.545,True,True,True
39,2025-01-25,Ghana,25-34,organic,iOS,0.273,True,False,False
40,2025-02-26,Spain,35-44,organic,Android,0.256,True,False,False
41,2025-01-15,UK,25-34,organic,iOS,0.367,True,False,False
42,2025-03-10,UK,35-44,organic,Android,0.512,True,False,False
43,2025-03-05,Germany,18-24,paid_social,Web,0.637,True,False,True
44,2025-02-01,Germany,25-34,paid_search,iOS,0.492,True,False,True
45,2025-01-07,UK,25-34,organic,Android,0.893,True,False,False
46,2025-03-29,Nigeria,45-54,affiliate,Web,0.328,True,False,True
47,2025-02-10,UK,18-24,organic,iOS,0.583,True,False,False
48,2025-03-22,Ghana,25-34,paid_search,Android,0.25,True,False,True
49,2025-03-03,UK,35-44,referral,Web,0.74,True,True,True
50,2025-03-12,Nigeria,55+,paid_social,iOS,0.695,True,False,True
51,2025-03-10,UK,35-44,paid_search,iOS,0.578,True,False,True
52,2025-01-18,Germany,35-44,affiliate,iOS,0.137,True,False,False
53,2025-02-02,France,25-34,paid_social,iOS,0.576,True,False,True
54,2025-02-12,UK,25-34,organic,iOS,0.303,True,False,False
55,2025-02-14,Ghana,45-54,organic,iOS,0.532,True,False,False
56,2025-01-04,UK,45-54,affiliate,iOS,0.188,True,False,True
57,2025-02-19,France,35-44,paid_search,Android,0.499,True,False,False
58,2025-01-14,France,35-44,referral,iOS,0.386,True,True,True
59,2025-03-08,France,45-54,organic,Android,0.31,False,False,True
60,2025-03-03,UK,18-24,organic,iOS,0.557,True,False,False
61,2025-03-25,UK,25-34,referral,Android,0.441,True,True,True
62,2025-03-09,UK,55+,affiliate,iOS,0.413,True,False,True
63,2025-02-02,Germany,25-34,organic,iOS,0.583,True,False,False
64,2025-03-29,UK,18-24,organic,Web,0.793,False,False,False
65,2025-02-06,Nigeria,25-34,paid_social,Android,0.5,True,False,False
66,2025-01-30,France,35-44,paid_social,Android,0.125,True,False,True
67,2025-03-23,France,35-44,paid_search,Android,0.17,True,False,True
68,2025-02-03,Germany,35-44,organic,iOS,0.462,True,False,False
69,2025-01-07,UK,18-24,affiliate,iOS,0.635,True,False,False
70,2025-02-12,France,25-34,organic,Android,0.474,True,False,False
71,2025-03-13,UK,18-24,organic,Android,0.542,True,False,False
72,2025-01-18,Germany,45-54,paid_search,Web,0.439,True,False,False
73,2025-02-11,Germany,18-24,organic,Android,0.623,True,False,True
74,2025-01-12,France,25-34,paid_social,iOS,0.561,True,False,False
75,2025-03-03,Nigeria,25-34,paid_search,Android,0.266,True,False,False
76,2025-02-12,UK,25-34,paid_social,Android,0.531,True,False,True
77,2025-01-30,Germany,25-34,paid_search,iOS,0.172,True,False,False
78,2025-01-21,UK,35-44,organic,iOS,0.531,True,False,False
79,2025-02-20,Germany,25-34,referral,iOS,0.399,True,True,True
80,2025-03-02,Spain,18-24,paid_social,iOS,0.479,True,False,True
81,2025-03-26,UK,25-34,paid_search,Android,0.508,True,False,True
82,2025-02-09,France,25-34,organic,iOS,0.501,True,False,False
83,2025-01-15,Germany,25-34,paid_social,Android,0.705,True,False,False
84,2025-03-16,UK,35-44,referral,iOS,0.456,True,True,True
85,2025-02-26,Nigeria,25-34,paid_social,iOS,0.484,True,False,True
86,2025-03-05,Germany,35-44,referral,Android,0.689,True,True,True
87,2025-01-09,Spain,18-24,organic,Android,0.791,True,False,False
88,2025-01-29,Germany,35-44,affiliate,Android,0.447,True,False,False
89,2025-03-11,Nigeria,18-24,organic,Android,0.358,True,False,False
90,2025-03-16,UK,25-34,organic,Android,0.367,False,False,False
91,2025-02-09,Germany,25-34,paid_social,iOS,0.531,True,False,False
92,2025-03-14,Spain,35-44,organic,Android,0.413,True,False,False
93,2025-03-17,Germany,18-24,paid_search,iOS,0.135,True,False,False
94,2025-02-04,Germany,35-44,organic,Android,0.652,True,False,False
95,2025-03-22,Nigeria,25-34,paid_social,Android,0.597,True,False,True
96,2025-01-26,France,55+,referral,iOS,0.656,False,True,True
97,2025-01-22,Spain,35-44,paid_social,Android,0.692,True,False,True
98,2025-03-03,France,25-34,paid_search,Android,0.484,True,False,False
99,2025-02-27,Ghana,35-44,paid_search,iOS,0.497,True,False,False
100,2025-01-13,Ghana,18-24,referral,Android,0.631,True,True,True
101,2025-03-16,France,35-44,paid_social,Android,0.231,True,False,False
102,2025-01-18,UK,25-34,paid_search,iOS,0.387,True,False,True
103,2025-03-14,UK,35-44,organic,Android,0.439,True,False,False
104,2025-01-01,France,18-24,organic,Android,0.616,True,False,False
105,2025-03-13,Ghana,25-34,paid_search,iOS,0.353,True,False,True
106,2025-03-12,Germany,35-44,paid_social,iOS,0.322,True,False,True
107,2025-03-12,UK,25-34,referral,Android,0.372,True,True,True
108,2025-03-01,UK,18-24,affiliate,Android,0.535,True,False,True
109,2025-02-12,France,25-34,paid_search,Android,0.438,True,False,False
110,2025-03-05,Ghana,35-44,paid_search,Android,0.189,True,False,True
111,2025-01-25,UK,18-24,referral,Android,0.224,True,True,True
112,2025-03-12,France,25-34,paid_search,Android,0.475,True,False,False
113,2025-02-20,Spain,55+,paid_social,iOS,0.481,True,False,True
114,2025-02-11,Nigeria,45-54,paid_social,Android,0.455,True,False,True
115,2025-02-15,UK,18-24,organic,iOS,0.365,True,False,True
116,2025-02-21,Nigeria,25-34,organic,Web,0.592,True,False,False
117,2025-01-04,France,18-24,paid_search,iOS,0.516,True,False,True
118,2025-01-13,Spain,45-54,paid_social,iOS,0.51,True,False,False
119,2025-01-23,UK,25-34,organic,Android,0.517,False,False,True
120,2025-01-11,France,25-34,organic,iOS,0.738,True,False,False
121,2025-02-09,France,25-34,organic,iOS,0.266,True,False,False
122,2025-03-02,Germany,25-34,referral,Web,0.374,True,True,True
123,2025-02-28,Germany,18-24,referral,Android,0.389,True,True,True
124,2025-02-12,France,35-44,referral,iOS,0.676,True,True,True
125,2025-03-18,France,25-34,referral,iOS,0.383,True,True,True
126,2025-02-20,UK,25-34,organic,Android,0.307,True,False,False
127,2025-01-08,Germany,35-44,organic,Android,0.431,True,False,False
128,2025-03-10,UK,18-24,paid_search,iOS,0.469,True,False,False
129,2025-02-21,Nigeria,18-24,paid_social,iOS,0.665,True,False,True
130,2025-02-27,Nigeria,25-34,paid_social,Android,0.382,True,False,False
131,2025-02-20,UK,35-44,organic,iOS,0.326,True,False,False
132,2025-02-19,UK,18-24,affiliate,Android,0.286,True,False,False
133,2025-01-09,UK,35-44,paid_search,iOS,0.388,False,False,True
134,2025-02-20,Germany,25-34,paid_social,Android,0.911,True,False,True
135,2025-03-13,Ghana,25-34,referral,Android,0.519,True,True,True
136,2025-01-28,France,25-34,paid_social,iOS,0.558,True,False,True
137,2025-02-24,UK,18-24,referral,Android,0.45,True,True,True
